,Sector,Month,Sentiment_Sum,Sentiment_Count,Weighted_Average_Sentiment,Date
0,Communication Services,2009-07,3,3,1.0,2009-07-01
1,Communication Services,2009-08,7,7,1.0,2009-08-01
2,Communication Services,2009-09,117,146,0.8013698630136986,2009-09-01
3,Communication Services,2009-10,97,138,0.7028985507246377,2009-10-01
4,Communication Services,2009-11,27,192,0.140625,2009-11-01
5,Communication Services,2009-12,74,109,0.6788990825688074,2009-12-01
6,Communication Services,2010-01,199,269,0.7397769516728625,2010-01-01
7,Communication Services,2010-02,85,129,0.6589147286821705,2010-02-01
8,Communication Services,2010-03,107,164,0.6524390243902439,2010-03-01
9,Communication Services,2010-04,434,775,0.56,2010-04-01
10,Communication Services,2010-05,193,537,0.35940409683426444,2010-05-01
11,Communication Services,2010-06,311,622,0.5,2010-06-01
12,Communication Services,2010-07,267,927,0.28802588996763756,2010-07-01
13,Communication Services,2010-08,550,1269,0.43341213553979513,2010-08-01
14,Communication Services,2010-09,710,1516,0.4683377308707124,2010-09-01
15,Communication Services,2010-10,1046,2026,0.5162882527147088,2010-10-01
16,Communication Services,2010-11,1034,1875,0.5514666666666667,2010-11-01
17,Communication Services,2010-12,1492,3622,0.41192711209276645,2010-12-01
18,Communication Services,2011-01,1172,2288,0.5122377622377622,2011-01-01
19,Communication Services,2011-02,1079,2550,0.4231372549019608,2011-02-01
20,Communication Services,2011-03,1496,2929,0.5107545237282349,2011-03-01
21,Communication Services,2011-04,1408,2862,0.4919636617749825,2011-04-01
22,Communication Services,2011-05,1148,2382,0.4819479429051218,2011-05-01
23,Communication Services,2011-06,1157,2934,0.3943421949556919,2011-06-01
24,Communication Services,2011-07,2776,5369,0.5170422797541442,2011-07-01
25,Communication Services,2011-08,702,1631,0.43041079092581236,2011-08-01
26,Communication Services,2011-09,2245,6398,0.35089090340731477,2011-09-01
27,Communication Services,2011-10,1883,5482,0.34348777818314485,2011-10-01
28,Communication Services,2011-11,876,2184,0.4010989010989011,2011-11-01
29,Communication Services,2011-12,1718,3867,0.44427204551331784,2011-12-01
30,Communication Services,2012-01,3587,7078,0.5067815767165866,2012-01-01
31,Communication Services,2012-02,1646,3326,0.49488875526157544,2012-02-01
32,Communication Services,2012-03,1757,3175,0.5533858267716535,2012-03-01
33,Communication Services,2012-04,1501,3572,0.42021276595744683,2012-04-01
34,Communication Services,2012-05,1384,2887,0.4793903706269484,2012-05-01
35,Communication Services,2012-06,1015,1519,0.6682027649769585,2012-06-01
36,Communication Services,2012-07,2011,4283,0.46953070277842635,2012-07-01
37,Communication Services,2012-08,1089,2100,0.5185714285714286,2012-08-01
38,Communication Services,2012-09,1035,1833,0.5646481178396072,2012-09-01
39,Communication Services,2012-10,3702,7444,0.49731327243417517,2012-10-01
40,Communication Services,2012-11,3054,5213,0.5858430845962018,2012-11-01
41,Communication Services,2012-12,3552,6541,0.5430362329918973,2012-12-01
42,Communication Services,2013-01,7149,13881,0.515020531661984,2013-01-01
43,Communication Services,2013-02,4423,11163,0.3962196542148168,2013-02-01
44,Communication Services,2013-03,4627,9784,0.472914963205233,2013-03-01
45,Communication Services,2013-04,5700,12162,0.4686729156388752,2013-04-01
46,Communication Services,2013-05,3484,7015,0.49665003563791876,2013-05-01
47,Communication Services,2013-06,1826,4207,0.43403850724982174,2013-06-01
48,Communication Services,2013-07,4284,9162,0.4675834970530452,2013-07-01
49,Communication Services,2013-08,4619,6913,0.6681614349775785,2013-08-01
50,Communication Services,2013-09,4835,8883,0.5442980974895868,2013-09-01
51,Communication Services,2013-10,10664,23529,0.45322793148880103,2013-10-01
52,Communication Services,2013-11,6971,16720,0.41692583732057414,2013-11-01
53,Communication Services,2013-12,11499,26905,0.4273926779409032,2013-12-01
54,Communication Services,2014-01,11571,24086,0.4804035539317446,2014-01-01
55,Communication Services,2014-02,10337,20281,0.5096888713574281,2014-02-01
56,Communication Services,2014-03,6411,15307,0.4188279871954008,2014-03-01
57,Communication Services,2014-04,10460,22999,0.45480238271229184,2014-04-01
58,Communication Services,2014-05,10502,21670,0.48463313336409786,2014-05-01
59,Communication Services,2014-06,10367,17648,0.5874320036264733,2014-06-01
60,Communication Services,2014-07,22526,34700,0.649164265129683,2014-07-01
61,Communication Services,2014-08,15401,22222,0.6930519305193052,2014-08-01
62,Communication Services,2014-09,10346,16411,0.6304308086039851,2014-09-01
63,Communication Services,2014-10,16726,34357,0.48682946706639113,2014-10-01
64,Communication Services,2014-11,9851,18502,0.5324289266025295,2014-11-01
65,Communication Services,2014-12,7872,15123,0.5205316405475104,2014-12-01
66,Communication Services,2015-01,13460,23114,0.5823310547719996,2015-01-01
67,Communication Services,2015-02,13653,20291,0.6728598886205707,2015-02-01
68,Communication Services,2015-03,11696,19141,0.6110443550493705,2015-03-01
69,Communication Services,2015-04,21595,37558,0.5749773683369721,2015-04-01
70,Communication Services,2015-05,14471,28102,0.5149455554764786,2015-05-01
71,Communication Services,2015-06,18347,41911,0.43776096967383266,2015-06-01
72,Communication Services,2015-07,24108,50962,0.47305835720733097,2015-07-01
73,Communication Services,2015-08,23105,57571,0.40133053099650867,2015-08-01
74,Communication Services,2015-09,15219,42299,0.35979573985200597,2015-09-01
75,Communication Services,2015-10,31657,56732,0.558009588944511,2015-10-01
76,Communication Services,2015-11,17506,33139,0.5282597543679652,2015-11-01
77,Communication Services,2015-12,19017,41685,0.45620726880172724,2015-12-01
78,Communication Services,2016-01,16939,54504,0.31078452957581093,2016-01-01
79,Communication Services,2016-02,21172,47048,0.4500085019554498,2016-02-01
80,Communication Services,2016-03,14767,27701,0.5330854481787661,2016-03-01
81,Communication Services,2016-04,22440,47079,0.47664563818262917,2016-04-01
82,Communication Services,2016-05,16214,30727,0.5276792397565658,2016-05-01
83,Communication Services,2016-06,11565,24562,0.47084927937464377,2016-06-01
